date,MSFT,AAPL,CSCO,ORCL,GOOGL
2005-11-11,0.007014,0.005884,0.018659,0.008661,-0.00179
2005-11-14,0.002566,-0.001462,-0.006869,0.000781,0.016829
2005-11-15,0.008409,0.013507,-0.004611,-0.0117,-0.010505
2005-11-16,0.008727,0.042871,-0.002895,-0.014207,0.01362
2005-11-17,0.008291,-0.00662,0.008711,0.009608,0.013312
2005-11-18,0.003575,0.00062,-0.02015,0.000793,-0.008031
2005-11-21,0.003206,0.006196,0.00235,-0.014263,0.022863
2005-11-22,-0.008878,0.024015,0.012896,-0.004019,0.017369
2005-11-23,0.000358,0.00887,0.009259,0.020178,0.015343
2005-11-25,-0.005731,0.033229,0.006307,-0.002373,0.013622
2005-11-28,-0.00036,0.004615,-0.003989,-0.005551,-0.011992
2005-11-29,-0.002523,-0.022395,0.001716,0.015152,-0.047086
2005-11-30,0.0,-0.004112,0.001713,-0.010212,0.003401
2005-12-01,0.007587,0.055737,0.008552,0.020635,0.022666
2005-12-02,0.004303,0.014384,-0.002827,-0.007776,0.008718
2005-12-05,-0.005712,-0.011152,-0.007936,-0.019593,-0.02837
2005-12-06,-0.005745,0.03105,0.003429,0.000799,-0.003228
2005-12-07,0.002167,-0.001351,0.012529,-0.000799,-0.000791
2005-12-08,-0.002162,0.001758,-0.007874,-0.005596,0.015907
2005-12-09,0.000722,0.003381,-0.005102,0.004823,-0.003531
2005-12-12,-0.009383,0.007796,-0.001709,0.0272,0.008338
2005-12-13,-0.011654,0.000934,-0.001142,-0.000779,0.011822
2005-12-14,-0.001478,-0.039611,0.010857,-0.001567,0.003521
2005-12-15,-0.006275,0.002361,0.003957,0.001569,0.008521
2005-12-16,-0.000743,-0.014824,-0.013514,-0.010912,0.018034
2005-12-19,-0.002602,0.003797,-0.002797,-0.029157,-0.012902
2005-12-20,0.001118,0.010227,-0.009215,-0.003247,0.012106
2005-12-21,-0.00484,0.019276,-0.005777,-0.008143,-0.007935
2005-12-22,-0.005238,0.007075,0.004649,0.011494,0.013393
2005-12-23,0.00188,-0.009052,0.00347,0.001623,-0.002569
2005-12-27,-0.006757,0.011997,-0.005764,0.00081,-0.014596
