date,GE
1929-08-07,-0.005195
1929-08-08,0.005222
1929-08-09,-0.049351
1929-08-10,0.017077
1929-08-12,0.019476
1929-08-13,0.024374
1929-08-14,0.00836
1929-08-15,-0.002551
1929-08-16,0.018542
1929-08-17,-0.006905
1929-08-19,0.008217
1929-08-20,-0.015674
1929-08-21,-0.016561
1929-08-22,0.01943
1929-08-23,0.0
1929-08-24,0.001271
1929-08-26,-0.017767
1929-08-27,0.01292
1929-08-28,-0.012755
1929-08-29,0.011628
1929-08-30,0.010217
1929-09-03,-0.011378
1929-09-04,-0.002558
1929-09-05,-0.011539
1929-09-06,0.009079
1929-09-07,-0.00964
1929-09-09,-0.007138
1929-09-10,-0.032026
1929-09-11,0.011479
1929-09-12,-0.010681
1929-09-13,0.00135
1929-09-14,-0.000674
1929-09-16,0.023601
1929-09-17,-0.011528
1929-09-18,-0.008331
1929-09-19,0.008065
1929-09-20,-0.018
1929-09-21,-0.00885
1929-09-23,-0.002747
1929-09-24,-0.013774
1929-09-25,0.005237
1929-09-26,0.02883
1929-09-27,-0.034436
1929-09-28,0.01958
1929-09-30,-0.017147
1929-10-01,0.004885
1929-10-02,0.010417
1929-10-03,-0.033677
1929-10-04,-0.015647
1929-10-05,0.028902
1929-10-07,0.011236
1929-10-08,-0.0125
1929-10-09,0.032349
1929-10-10,0.017711
